3.906,3.903,2.927,3.906,2.926,,2.929,3.903,2.929,2.928,3.906,2.925,2.929,3.903,2.928,2.929,3.903,2.928,2.934,3.898,5.856,2.929,3.904,2.928,2.927,3.904,3.904,2.928,2.929,7.808, 
no unrollin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.904,2.928,3.905,3.903,2.928,,3.904,2.929,2.955,3.876,2.928,2.928,9.76,2.929,2.956,3.922,3.888,2.924,2.901,3.904,8.784,3.904,12.688,2.928,2.929,3.903,2.928,2.928,3.904,2.928, 
,No unrolling,2,4,,selectfunction,,,,,,,,,,,,,,,,,,,,,,,,,
1,3.906,3.904,3.99,,schwefel,,,,,,,,,,,1000x500,,,,,,,,,,,,,,
2,3.903,2.928,5.02,,,0 roll,1,3,,0,1,3,4,,,0,1,3,4,,,,,,,,,,,
3,2.927,3.905,3.991,,,8.976,12.965,11.967,,13.941,41.914,43.882,39.893,,,82.78,209.412,245.877,259.307,,,,,,,,,,,
4,3.906,3.903,3.988,,,5.984,5.984,5.984,,12.962,17.936,19.946,13.962,,,68.816,75.304,69.786,68.815,,,,,,,,,,,
5,2.926,2.928,3.991,,,6.981,5.984,5.983,,13.963,36.89,13.963,13.964,,,67.823,66.854,67.819,136.145,,,,,,,,,,,
6,3.904,2.928,6.983,,,7.978,6.01,5.984,,12.965,27.928,11.968,11.967,,,67.818,67.294,68.816,105.717,,,,,,,,,,,
7,2.929,3.904,3.99,,,5.984,5.957,5.985,,12.965,17.949,12.969,12.965,,,69.813,88.762,73.238,83.776,,,,,,,,,,,
8,3.903,2.929,3.989,,,5.984,6.01,5.983,,13.964,12.967,12.961,13.963,,,80.784,116.478,71.786,80.783,,,,,,,,,,,
9,2.929,2.955,3.953,,,5.984,3.99,3.99,,11.968,14.965,15.958,13.963,,,68.816,89.759,71.807,84.774,,,,,,,,,,,
10,2.928,3.876,3.988,,,9.976,3.997,3.989,,14.96,11.962,15.958,12.965,,,68.816,72.806,73.796,76.794,,,,,,,,,,,
11,3.906,2.928,4.027,,,7.006,3.956,3.997,,11.968,14.96,17.951,12.966,,,69.813,78.789,67.82,80.784,,,,,,,,,,,
